text,no_of_tweets
RT @jwillia2: The romanticization of the quarantine is a class privilege! https://t.co/CB4Kg17hFN,595
RT @cruabIes: dating someone who pushes u to do better is important,523
RT @ohKAYx33: Is America just a 3rd world country with makeup on?,517
RT @justsaymaine: All the other countries are making the US look like it’s being ran by a moron,466
RT @dallasrileyy: I just want someone who never stops choosing me. That’s it.,368
"RT @Fahvy2: Me in                    The story I'll tell
Quarantine           my Grandchildren",366
"RT @CRAVITYstarship: [V LIVE Replay]
200414
CRAVITY DEBUT SHOWCASE
[REMEMBER WHO WE ARE]

▶ https://t.co/umsFjQm9U5

#CRAVITY #크래비티
#HIDEOU…",343
"RT @SpeakerPelosi: Now more than ever, we need the truth. And the truth is that Donald Trump dismantled the infrastructure handed to him wh…",333
RT @alishalynette: a person who’s healed on their own is dangerous and powerful.,317
"RT @BT21_: The road to becoming a UNIVERSTAR isn't easy during quarantine… 
They're keeping up their good spirits though!💪

The next season…",227
